,Name,Salon Name,Followers,Most Popular Post Text,Likes
0,Dasom Moon,Salon 46,37621,Sleek and shiny hair 💇‍♀️,2690
1,Seojun Im,Salon 29,37132,Salon day fun ✨,7592
2,Jihun Shin,Salon 28,11657,Hair treatment tips!,4556
3,Seojun Moon,Salon 23,18982,Amazing hair transformation!,6054
4,Soyeon Choi,Salon 19,31495,How to maintain curls 🌟,2054
5,Dasom Shin,Salon 33,40500,Hair treatment tips!,587
6,Eunwoo Im,Salon 19,25200,How to maintain curls 🌟,3849
7,Dasom Kang,Salon 47,41874,Salon day fun ✨,3693
8,Hyejin Yoon,Salon 5,5251,Hair treatment tips!,5344
9,Soyeon Kang,Salon 30,36948,"Classic bob, reimagined.",6637
10,Dasom Choi,Salon 21,12227,Amazing hair transformation!,9097
11,Yeji Jung,Salon 42,28658,Gorgeous waves 🌊,8785
12,Taeyang Lee,Salon 27,34050,Bold new look 🔥,3114
13,Dasom Moon,Salon 32,22990,Hair treatment tips!,6266
14,Hyejin Jung,Salon 12,7960,"Classic bob, reimagined.",1402
15,Hyejin Choi,Salon 9,14328,Amazing hair transformation!,7504
16,Eunwoo Park,Salon 38,32951,Hair treatment tips!,9790
17,Eunwoo Kang,Salon 49,40078,Salon day fun ✨,3915
18,Taeyang Lee,Salon 28,48307,"Classic bob, reimagined.",2263
19,Taeyang Jung,Salon 19,21118,Gorgeous waves 🌊,8206
20,Minji Lee,Salon 41,32728,Sleek and shiny hair 💇‍♀️,1848
21,Soyeon Shin,Salon 5,6180,How to maintain curls 🌟,7900
22,Dasom Jung,Salon 21,33172,Bold new look 🔥,1657
23,Minji Im,Salon 26,8796,Gorgeous waves 🌊,9148
24,Seojun Shin,Salon 46,16619,"Classic bob, reimagined.",5628
25,Minji Im,Salon 4,20822,Sleek and shiny hair 💇‍♀️,1218
26,Minji Im,Salon 23,44517,How to maintain curls 🌟,2443
27,Gyuri Shin,Salon 10,36711,Salon day fun ✨,1923
28,Gyuri Jung,Salon 29,21961,Bold new look 🔥,5591
29,Seojun Moon,Salon 40,37203,Bold new look 🔥,8791
30,Soyeon Im,Salon 28,27546,Bold new look 🔥,2886
31,Taeyang Lee,Salon 45,22815,How to maintain curls 🌟,7367
32,Jihun Moon,Salon 43,32493,"Classic bob, reimagined.",9405
33,Taeyang Kang,Salon 11,36418,Bold new look 🔥,7328
34,Gyuri Kang,Salon 47,21913,Salon day fun ✨,2520
35,Jihun Moon,Salon 11,38202,How to maintain curls 🌟,5756
36,Minji Kang,Salon 3,8755,How to maintain curls 🌟,8797
37,Taeyang Moon,Salon 5,26135,"Classic bob, reimagined.",4690
38,Soyeon Moon,Salon 39,7043,Hair treatment tips!,1286
39,Taeyang Yoon,Salon 48,25158,Salon day fun ✨,5267
40,Taeyang Kang,Salon 2,9855,Sleek and shiny hair 💇‍♀️,4981
41,Soyeon Choi,Salon 48,10513,How to maintain curls 🌟,4911
42,Jihun Park,Salon 30,11976,Salon day fun ✨,1501
43,Yeji Lee,Salon 38,18503,Sleek and shiny hair 💇‍♀️,8165
44,Taeyang Park,Salon 19,34463,Salon day fun ✨,3386
45,Eunwoo Kim,Salon 24,49552,Sleek and shiny hair 💇‍♀️,1615
46,Jihun Jung,Salon 1,28450,Bold new look 🔥,1170
47,Soyeon Lee,Salon 44,14856,Hair treatment tips!,5987
48,Taeyang Park,Salon 9,32580,Salon day fun ✨,3363
